key;value
Минет в машине;В през 1000, МБР 2000
Расслабляющий массаж;Мне)
Виртуальный секс;Вайбер 1500
Cекс по телефону;100 р 5 мин
Анальный секс;3000 р зависит от размера  обсуждается на месте
Секс групповой;ММ 6000 р + 2000 доп
Минет без резинки;+2000 р
Окончание в рот;При оплате мбр
Лесби-шоу;С подругой
Фингеринг;Не более 3х пальцев
Легкая доминация;3000
Минет глубокий;По самые гланды)
Анальный секс;Только небольшие размеры, оставляю за собой право отказать.
Секс групповой;МЖМ, МММЖ - обсуждается.
Окончание в рот;При симпатии, оставляю за собой право отказать.
Порка;Возможна обоюдная, обсуждается по тел.!
Секс классический;Как в последний раз!)
Анальный секс;Точно будет незабываемым!)
Минет без резинки;Обожаю
Куннилингус;Люблю заставлять лизать
Игрушки;Обговариваем заранее) можешь и свои захватить)
Окончание на грудь;Дааааа
Окончание в рот;Меня от голода спасёт!)
Эскорт;По предварительной договоренности
Анилингус;Моя маленькая слабость)))
Услуги семейной паре;6000р
Игрушки;От 500 р
Урологический массаж;#ИМЯ?
Легкое подчинение;По договоренности
Секс классический;Подниму на седьмое небо)
Анальный секс;3000 Космос)) При позволяющих размерах)
Минет без резинки;12 различных техник... Обожаю сосать ..леденцы , с детства))
Минет глубокий;Есть чем удивить!!!
Игрушки;Маленькие и побольше..разные и классные!!!
Окончание в рот;Красиво и сладко !!!
Урологический массаж;Ласкаю пальчиками... нежно.. и очень приятно..
Стриптиз;Танец Снежинки)) в подарок!!!
Страпон;3000 нежно разработаю попку игрушками, ( от маленьк до больших)))очень хорошо это умею!!!!! Расскажи мне о своих желаниях!!!! Конфиденс
Анилингус;+2000 игры язычком.. ты Улетишь!!!
Фистинг анальный;+2000...это фантастические ощущения....
Госпожа;Лайт, утончённо и изысканно!!!
Легкая доминация;В мою или твою сторону- обсуждаем заранее!!!
Легкое подчинение;Возможно при обсуждениии
Фингеринг;2000
Минет без резинки;Обсуждаю по телефону
Минет глубокий;Постараюсь
Куннилингус;Обожаю и кончаю)))
Окончание на грудь;Мне в удовольствие!
Окончание в рот;Дорого
Ролевые игры;Предлагайте сценарий
Эскорт;Предоплата
Cекс по телефону;Общение 20 мин.-500 руб.
Стриптиз;Люблю танцевать в объятиях мужчины
Госпожа;Бархатная (ошейник привозите свой)
Легкая доминация;Бархатная
Рабыня;Выполню ваши желания не грубые
Порка;Слегка пошлепаю
Фетиш;Красивые маленькие ножки
Игры;Поиграю только нежно
Секс классический;Очень активная и опытная)
Минет в презервативе;Ммм обожаю зайчик
Минет глубокий;Мм
Золотой дождь;Скажи заранее
Куннилингус;500
Анальный секс;+5000 размер имеет значение
Минет без резинки;+3000 по моему усмотрению
Лесби-шоу;со своей подругой
Секс классический;3000
Анальный секс;4000
Секс групповой;5000 с каждого
Минет в презервативе;1500
Минет без резинки;1500
Секс классический;Классный  чувственный жёсткий секс,  без ужимок и притворств! Можно всё,  что я описала в анкете в самом изощрённом виде. Единственная техника, которой я НЕ владею - это безэмоциональное фригидное бревно ))
Секс групповой;Хочу-хочу, много фантазий! Мжм, мжмм 20000
Минет глубокий;Горловой королевский минет! Можно долбить в глотку почти в любой позе
Минет в машине;Только из соображений либо экстрима, либо полной конфиденциальности. Иных причин выбирать авто не вижу ) и за иными причинами - не ко мне
Игрушки;Трахать меня чем-нибудь,  пока отсасываю. Может, кончим одновременно
Окончание в рот;При окончании в горло- предупреждайте, чтобы я контролировала задержку дыхания
Ролевые игры;Приставания к скромной недотроге, стюардесса, секретарша, сексапильная служанка. Есть костюмы ) ролевые игры по тематике  БДСМ и др.
Фото/видео съемка;На нежную память ) во время процесса, без верхней половины лица, снимаю я и скидываю Вам ) 10000
Эскорт;С цензурой или без) в СПб или дальше.  Шенген открыт.  Образование высшее, 2 европейских языка, общение на уровне.
Виртуальный секс;По предоплате. 1000 переписка на любые темы без фото. Отчёты с фото  5000. Сделаю такие фото, какие прикажете. Исполнительная и с фантазией.
Cекс по телефону;Для знакомых, с кем уже было хорошо в реальном времени!
Фингеринг;Для умеющих доводить до сквирта. Только стимуляция G. В защите.
Рабыня;Сессия 14000. Обратите внимание,  моя анкета рабыни с подробным.инф и фото. Я единственная sub (не свитч и не притворство ради денег) в СПб, чем очень горжусь. В теме давно. Понимаю первопричины DS. Компенсаторики табу! Только для истинного Dom
Легкое подчинение;Интересует только мужское доминирование! В сексе допустимы любые жёсткости. В общении до секса жёсткость не допустима. Не перепутайте! ))
Порка;Следы допустимы. Меня это возбуждает,  на память  ))
Фетиш;Эротическое бельё разных цветов. Кожа, латекс, кружево, нейлон. Коллекция обуви на высоком каблуке. Классические шпильки. Вечернее платье. Деловая одежда. БДСМ девайсы. И многое другое. Спрашивайте)
Игры;См. мои предпочтения
Секс групповой;При условии если я с одним из Вас знакома
Минет глубокий;Люблю, умею
Куннилингус;Ммм, обожаю!!!!!
Боди массаж;Почувствуешь легкость
Лесби откровенное;Могу пригласить красивую подругу
Золотой дождь;На тело
Услуги семейной паре;Не секс
Урологический массаж;+500 к массажу
Эротический;+500 вторая эротика
Фото/видео съемка;Вас в процессе
Страпон;+500 к массажу
Госпожа;Умею.Все решается после обсуждения
Анальный секс;+1500(при допустимом размере)
Минет без резинки;+2000(без окончания в рот(по моему усмотрению)
Куннилингус;+2000(по моему усмотрению)
Лесби-шоу;2(только с моей подругой
Золотой дождь;+500 умею, люблю, много, можно сразу много или прерывистый долго)
Копро;1500
Фистинг анальный;500
Фистинг анальный;+500(не больше2пальцев в презервативе)
Фистинг классический;+500(не больше2пальцев в презервативе)
Клизма;+1000 (Вам)
Куннилингус;Только в комплексной программе
Секс классический;Активная и очень старательная...
Куннилингус;Сладенькая и вкусная
Окончание на грудь;Мммм
Анилингус;Разработай мою дырочку своим язычком
Золотой дождь;Предупреди заранее
Легкая доминация;Тебе понравится
Виртуальный секс;Есть сладкое порно) Минет со слюнками)
Анальный секс;+1500, на моё усмотрение, ряд ограничений, предупреждайте заранее
Минет без резинки;+1000 на моё усмотрение, при вашей чистоплотности и взаимной симпатии
Куннилингус;На моё усмотрение, при вашей чистоплотности и взаимной симпатии
Целуюсь;При взаимной симпатии, свежее дыхание облегчает понимание )
Окончание на грудь;+500 на тело, на моё усмотрение
Окончание в рот;Входит в МБР на моё усмотрение
Урологический массаж;+500 не медицинский, просто для удовольствия )
Стриптиз;+500, покажу как ласкаю себя с игрушкой (фаллоимитатором)
Золотой дождь;+500, в ванной, предупреждайте заранее
Куннилингус;Не на первой встрече
Боди массаж;500 с применением
Анилингус;Оч люблю! Нежненько!!! И яички тоже оближу)
Анальный секс;+2500 с правом на отказ
Секс групповой;Жмж двойная плата
Секс лесбийский;По предводительной договорённости
Фото/видео съемка;+500 без лица
Фистинг анальный;1 пальчик
Фистинг классический;1-2 пальчика
Урологический массаж;Умело
Анальный секс;2.000
Минет в машине;1.500
Виртуальный секс;Голенькая
Cекс по телефону;Договоримся
Секс классический;2000
Окончание на грудь;Дог
Анилингус;Дог
Фетиш;Дог
Урологический массаж;Дог
Эротический;Дог
Ролевые игры;Дог
Легкая доминация;Дог
Порка;Дог
Минет без резинки;500 если контакт 1
Окончание на лицо;Вкл. В мбр
Окончание в рот;Вкл. В мбр1000
Лесби откровенное;Договорная
Лесби-шоу;Договорная
Анилингус;1000 По симпатии
Легкая доминация;500
Куннилингус;Люблю и привествую
Расслабляющий массаж;Лёгкими, плавными движениями....
Эротический;Отличная прилюдия с продолжением )
Анилингус;Приветствую
Легкая доминация;Принудительный КУ
Секс классический;Очень старательная киска
Куннилингус;Сделай мне приятно зайка
Анальный секс;Опыта мало
Секс классический;Пылкая классика, миссионерские позы, рассмотрение камасутры и прочих интересных поз.
Анальный секс;Принимаю в зад Ваш удалой Членчик!)
Секс групповой;Вы, Я и моя несносная подружка, альтернативные варианты и предложения просьба озвучивать заранее, договоримся.
Секс лесбийский;Все разнообразные позы, игры язычками. От классики, до экспериментов с задействованием язычка, губ, рук и игрушек.
Услуги семейной паре;Индивидуальная программа ждет Вас для вознесения нас.
Минет в презервативе;Ощутимо, плотно, чувственно с натяжением.
Минет без резинки;Поглощу Вашего Челентано как хищный зверь!)
Минет глубокий;Впущу в гортань Вашего фамильного Господина и успокою его веянием орала!)
Минет в машине;Я буду на ходу жонглировать Вашими бубнами!
Куннилингус;Шаловливым язычком с пальчиками в киске и стимуляцией всего влагалища в целом.
Целуюсь;Засосу Ваши сладкие губы своей страстью!)
Игрушки;При наличие Ваших личных девайсов обслужу как пологается. Ассортимент рассматривается абсолютно любой.
Окончание на грудь;Хочу принять Ваши струйки счастья.
Окончание на лицо;Внедряется во все имеющиеся вместилища, после чего извергается на мою румяную плоть.)
Окончание в рот;Спустите мне свою белковую лавину в черную дыру.)
Боди массаж;Нежный, ласковый и любой индивидуально личный для каждого свой.
Профессиональный;Мой опыт Вы оцените статикой напряжения Вашего Члена. Изобилие разнообразных массажей.
Расслабляющий массаж;Ласковый, нежный, успокаивающий!
Урологический массаж;Органы трепещут и желают экстаза? Тогда мы идем экспериментировать к Вам.
Эротический;Буду доводить Вас вновь и вновь до струйного оргазма.
Ролевые игры;От не готовой к первому сексу школьницы до покорной медсестры как в милой порнушке.
Фото/видео съемка;Запихните мне в попочку головку члена, зайдите на половинку и всадите по самое окончание, запечатлите - эти воспоминания будут со слезами на глазах и будут греть Вас холодными, зимними вечерами.
Стриптиз;Танцую для Вас красиво и сексуально.
Лесби откровенное;Как с Вами, так и с моей младшей подружкой.
Лесби-шоу;Сексуальный танец с легкими поглаживаниями язычком, пальчиками и всем телом.
Страпон;Жестко пострапоню или нежно на половинку.
Анилингус;Я вылижу Ваше кожаное полотно!)
Анилингус;Мне, моя попка пылает желанием излизать ее недры.
Золотой дождь;Стоит только захотеть и пожелать и я спущу все что у меня есть.
Золотой дождь;Орашите мои холмы своим дождем!
Фистинг анальный;Поезд уже мчится к цели!)
Фистинг анальный;Скольжение пальчиками или вхождение на сухую.. Бесценно..)
Фистинг классический;Четкий - Феерический!)
Фингеринг;Предоставлю Вам ощутимое воздействие порочными предметами.)
Госпожа;Буду заставлять Вас быть покорным мальчиком или девочкой.
Легкая доминация;Моральный прессинг, легкие шлепки и все в подобном духе.
Рабыня;По законодательству РФ!)
Легкое подчинение;Безупречное - порочное.)
Порка;Розгами, ремнем и чем только пожелаете, все возможно при дефиците внимания.)
Клизма;Клизмирую Анльно, Орально и Уретрариально!)
Фетиш;Пофетешируем? Или воплотим в реальность мечты и желания.
Трамплинг;Запрессую ваши органы до посинения, так же зажимы, стяги, проволочки, резинки и прочее.
Игры;Абсолютно любые, от жестких до ласковых.
Минет без резинки;1500 (при взаимной симпатии)
Игрушки;Достойный выбор
Окончание в рот;Вам.Сквирт-шоу
Урологический массаж;Проф
Фото/видео съемка;+1000 вас на ваш гаджет
Виртуальный секс;Видео наиразные тематики.3 мин 3000р
Cекс по телефону;2500 за 10 минут,расскажу сессию,что буду с тобой делать))
Страпон;Различные насадки,хорошая техника
Анилингус;Договорная
Золотой дождь;Предупреждать заранее.На лицо,в рот,на тело,в растраханный анус.С принуждением и без.Обильно или дозированно.
Копро;20.000 по 100 предоплате.Туалетный стул
Фистинг анальный;Нежный или жёсткий,глубокий или на входе.Дабл фист,футфист,дилдо.Качественные поперсы(Канада,Великобритания),хорошие смзки(на жировой ,на водной основе),высокие перчатки для глубокого проникновения и латексные носочки для любителей экстрима
Госпожа;))))Обсуждаемо
Бандаж;Кандалы,распорки,жгуты,липкая лента,плёнка(мумификация)
Порка;Различные ударные девайсы,любая мера жёсткрсти
Клизма;Микролакс,анальный душ.
Фетиш;Чулочки,обувь,кружево,винил.
Трамплинг;Большой опыт.Трамплинг лица,тела,члена.
Игры;Обсуждаемо
Секс классический;Старательная девочка...
Куннилингус;Обожаю когда доставляют удовольствие, своим нежным язычком по моей сладенькой киске...мммм
Боди массаж;Верну к жизни после тяжелого дня
Эротический;Телом по телу
Ролевые игры;Любые сюжеты
Анилингус;Еще больше завожусь..
Анальный секс;От 1000 за контакт(зависит от размера пениса)
Минет без резинки;700
Игрушки;+500вагина,+1000анус
Окончание на лицо;Без МБР+300
Окончание в рот;Без МБР+300не глотаю
Анилингус;+1000чистоплотным
Куннилингус;2000 руб
Порка;2000 руб 30 мин(на выбор бамбуковыми вениками или кожаной плёткой)
Секс лесбийский;10000
Игрушки;1000
Ролевые игры;2000
Золотой дождь;1000
Фистинг анальный;2000
Госпожа;2000
Игрушки;Много разных.
Золотой дождь;На любую часть тела, можно и в комнате .
Бандаж;Верёвки, наручники, мумификация пленкой.
Трамплинг;Трамплинг лица,тела,члена.
Игры;По предварительной обговорённости или на месте.
Секс классический;Люблю , хочу в разных позах
Анальный секс;На усмотрение. ни разу не было, но хотела бы попробовать)
Минет без резинки;Очень вкусный минет
Куннилингус;Обожаю!ванильная писечка
Окончание на грудь;Обкончай моё тело малыш!
Ролевые игры;Расскажи мне свой сценарий)
Анилингус;Люблю когда мне делают !!!
Госпожа;Можно с разрешения. Твоя Госпожа, Твоя Королева.)
Секс классический;Очень активная в постели
Минет в презервативе;Отсосу по полной
Куннилингус;Кончаю от твоего язычка
Окончание на грудь;Мммммм
Боди массаж;После тяжелого дня приходи и я сниму усталость
Анилингус;Дам тебе пошалить
Легкая доминация;Обожаю
Анальный секс;+1000(право выбора ост.за собой)
Услуги семейной паре;(двойная оплата)
Окончание в рот;+1000(право выбора оставляю за собой)
Фистинг анальный;1000
Легкая доминация;500
Фетиш;500
Куннилингус;Кончаю!Улетаю!
Целуюсь;С язычком)
Окончание на грудь;Залей своей спермой мои сосочки.
Окончание в рот;При мбр.На сиси и лицо.
Боди массаж;Массаж стоп
Расслабляющий массаж;Массажик грудью
Урологический массаж;Профилактика простатита
Виртуальный секс;1000 руб.10 минут.
Cекс по телефону;500 руб.10 минут.
Анилингус;Фейсситинг
Золотой дождь;На ножки 10000
Фистинг анальный;ПрофессиАнально!
Фистинг классический;Вам.
Легкая доминация;Принудительный куни и ани.
Минет в машине;7000
Фото/видео съемка;Фото без лица 1000р одно,фото с лицом 2000 р одно видео 10000
Виртуальный секс;300 р две сделаные фото без лица на заказ одно 500,с лицом одна 500,на заказ одна 800,скайп 5 мин 500 р без лица,с лицом 5 мин 800р игрушка+200
Cекс по телефону;1000р 10мин
Секс классический;Старательная
Окончание на грудь;Ммм
Анальный секс;Практикую нечасто, дорого
Целуюсь;2000
Игрушки;5000
Окончание в рот;5000
Ролевые игры;3000-5000, накрашупереодену в девочку, возможна любая фантазия)
Виртуальный секс;Обжигающие фоточки и видео! Фантазия бьет через край) УЛЁТНО ВИРТУЮ, за расценками в вотсап!)
Cекс по телефону;Заведу так, что тапочки отлетят! За расценками в вотсап!)
Страпон;5000, виртуозно вас поимею
Золотой дождь;3000, предупреждать за пару часов
Госпожа;5000
Легкая доминация;5000
Порка;5000
Фетиш;3000-5000
Трамплинг;5000
Игры;3000-5000
Страпон;Есть разные игрушки
Фото/видео съемка;Вас
Эротический;2000
Секс классический;Мммм...страстная в постели)
Минет без резинки;Ммм
Куннилингус;Сладенькая и вкусная)
Золотой дождь;Предупреди
Легкая доминация;Люблю
Окончание на лицо;Включено при МБР
Окончание в рот;Включено при МБР
Секс классический;Любая поза из вашей фантазии осуществима)
Минет в презервативе;Разнообразный, качественный, динамичный...
Минет без резинки;Ты будешь в восторге!!!)
Игрушки;Вам
Секс классический;В сексе я универсальна и многое приемлю
Анальный секс;+5000  обожаю
Минет в презервативе;Входит в стоимость часика
Минет глубокий;Очень глубокий
Игрушки;Есть всякие
Окончание в рот;При услуге МБР, очень люблю
Фистинг анальный;1-2 пальчика
Фингеринг;Только пальчики
Легкая доминация;Доминирую
Рабыня;Без фанатизма
Легкое подчинение;Послушная
Игры;Игривая))
Куннилингус;2000
Трамплинг;3000
Анальный секс;Входит в стоимость классики
Секс групповой;2
Минет без резинки;Входит в стоимость классики
Минет глубокий;По ситуации
Фистинг анальный;1т
Фистинг классический;500
Анальный секс;+2000если мне размер подойдет
Минет без резинки;Доп +1000
Минет глубокий;Со слюнками
Куннилингус;Если санация вашего рта позволяет
Окончание на грудь;При МБР на ножки,на попу
Окончание в рот;Доп +1000
Боди массаж;Массажный стол
Эскорт;Выезд за город и из страны
Страпон;Подготовить анус заранее
Анилингус;+1000 если выбрито
Фистинг анальный;Приходить подготовленным
Игрушки;В твою ж...
Урологический массаж;Начнем с 1 пальчика...
Виртуальный секс;От 2000р
Cекс по телефону;1000р за 10 мин
Страпон;Разные размеры
Анилингус;Сяду попкой на язык
Копро;#ИМЯ?
Фистинг анальный;С попперсом
Клизма;Микролакс
Секс групповой;Жмж.мжм
Минет без резинки;500
Минет в машине;1500
Куннилингус;Прветствуется!)
Целуюсь;По симпатии!)
Куннилингус;1000, на мое усмотрение
Секс групповой;Х2
Эскорт;+1000час, без интима
Золотой дождь;1000
Копро;10 000
Секс групповой;ЖМЖ (двойная оплата)
Куннилингус;БОНУС)
Целуюсь;С удовольствием)
Окончание на грудь;500 (ЛЮБЛЮ!!!)
Окончание в рот;1000 (ВХОДИТ В МБР!!!)
Боди массаж;Не профессиональный
Расслабляющий массаж;Не профессиональный
Анилингус;2000 (ВАМ ПОНРАВИТЬСЯ!!!)
Анилингус;Входит в классику
Фетиш;Поцелуй мои ножки)
Анилингус;1000
Урологический массаж;Пальчиком или игрушкой
Виртуальный секс;Переписка, видео- или аудиозвонок
Фетиш;Фут-фетиш, ласки моих ножек, массируй мои ножки, ухаживай за ними, целуй
Клизма;В вашу сторону
Секс классический;Наши киски ждут Ваш Ствол для совместных утех)
Секс лесбийский;Хотите понаблюдать как мы отлизываем друг другу? Мы любим устраивать такие шоу)
Минет без резинки;Незабываемые ощущения от наших ротиков!
Лесби откровенное;Пошлое и развратное - Железный Стояк обеспечен!
Секс классический;Вашем авто
Cекс по телефону;10мин.300р
Страпон;1500, я отстропоню тебя.
Фингеринг;1000
Лесби откровенное;8000
Минет глубокий;Горловой не делаю
Окончание на грудь;При мбр..
Секс групповой;Ж+м+ж
Страпон;1000
Легкая доминация;1000
Анальный секс;Готова попробовать с особо щедрым
Минет глубокий;По симпатии
Эскорт;Составлю компанию в поездках цена оговаривается
Минет без резинки;1000
Окончание в рот;500
Ролевые игры;1000предлогай
Стриптиз;800
Страпон;1000 ваш и вам
Анилингус;800
Золотой дождь;800
Легкая доминация;800
Порка;800
Фетиш;800
Трамплинг;800
Легкая доминация;Заставлю тебя исполнять мои тайные желания
Секс групповой;Жмж
Фото/видео съемка;В маске
Секс классический;Говорят, в обратной наезднице открывается шикарный вид))
Минет в презервативе;С окрестностями при галичии интимной стрижки.
Минет без резинки;По симпатии, на мое усмотрение 1500 р ( при заказе программы ХИТ - 1000 р)
Минет глубокий;Бонус при заказе МБР. Глубина зависит от габаритов твоего приятеля )) Горлотрах не практикую.
Игрушки;С удовольствием пошалю на твоих глазах + 1500
Окончание на грудь;Бонус для любимых гостей
Окончание на лицо;На область губ, входит в мбр
Окончание в рот;По симпатии, входит в МБР
Боди массаж;См. описание ниже
Профессиональный;Хорошо владею техниками снятия мышечных блоков и релаксации. Глубокая проработка мышц без боли и неприятных ощущений.   За полный сеанс гарантирую полное расслабление и обновление тела и эмоционального состояния. + 1000 к классической программе или V
Расслабляющий массаж;Избавлю воротниковую зону от  напряжения за 10-15 минут. Входит в классику.
Урологический массаж;Техника Шелковые пальцы, супер-яркий оргазм
Эротический;Чувственный боди - массаж, телом по телу с использованием губ и рук. Массаж эрогенных зон бедер, промежности, паховой области и, конечно же, массаж лингама (члена). Кто пробовал - не забыл )) Входит в классическую программу.
Ролевые игры;Я твоя соседка. Слышишь как я стону за стенкой, как ко мне ходят мужчины.  Злишься и тайно хочешь оказаться на их месте. И вот ты пришел под предлогом что у меня громко играет музыка. Я открыла дверь и..... Возможны другие сценарии. Обсуждаем при вст
Стриптиз;Я бы назвала это просто танец прелюдии. Танцую по настроению)
Анилингус;При симпатии и строгом соблюдении вами гигиены. +1000, а так же включено в программу Супер VIP
Анилингус;Бонус любимым клиентам
Золотой дождь;+1000 или включено в программу Супер VIP.  Дабы не вводить в искушение любителей виртуального секса, данную практику по телефону не обсуждаю.
Фингеринг;Аккуратные, ухоженные руки могут довести меня до струйного оргазма 2000
Фетиш;Соблазнительный  foot job, foot fetish (ухоженные ножки), чулки, эротичнычные колготки с имитацией пояса, боди - сетка с отверстием в горячем месте, элегантные шпильки - предупреди заранее и я оденусь как ты хочешь.
Игры;Мамина сексуальная подруга поругалась с мужем и приехала пожить пару дней у вас. Мама работает в ночную смену, а в твоей юношеской постели, кажется, намечается жара...   Возможны другие сценарии. Обсуждаем при встрече))  + 1500 р или включено в прогр
Анальный секс;По телефону
Минет без резинки;1300
Куннилингус;Входит
Урологический массаж;Массаж простаты
Минет без резинки;Тебе понравится...
Минет глубокий;Ты даже не знаешь насколько...глубоко.
Куннилингус;Кончаю!!!
Cекс по телефону;10 мин 500р
Куннилингус;Самый сладкий пирожок +1000
Боди массаж;Нежные но сильные ручки .Не пожалеешь )
Эротический;Грудью и ягодицами
Страпон;Размер на выбор )
Золотой дождь;Обильно или порционно
Фистинг анальный;Опытная с тонкой кистью
Госпожа;Твоей мечты
Легкая доминация;5000 программа
Бандаж;Веревки,пищевая плёнка
Порка;Без следов
Фетиш;Ножки,бельё.
Секс классический;Мы вместе разбудим Бога Любви Купидона...
Куннилингус;Приветствую причём очень даже очень!
Окончание на грудь;Обожаю извержение твоего вулкана
Боди массаж;Весьма профессионально
Расслабляющий массаж;Под релаксирующую музыку, нежными и плавными движениями
Эротический;Эротический массаж - райское наслаждение
Ролевые игры;Ваши предложения
Секс классический;Умело владею мышцами
Анальный секс;Возможно двойное, есть игрушки
Минет в презервативе;Делаю очень глубоко
Минет без резинки;При условии отсутствия видимых проблем со здоровьем
Куннилингус;При условии проблем в ротовой полости
Целуюсь;По симпатии!!!
Игрушки;На любой вкус
Окончание в рот;При мбр включено
Госпожа;Есть сопутствующая атрибутика
Игры;Для самой изощренной фантазии
Минет без резинки;2.500
Минет глубокий;2.500
Минет в машине;2.500
Целуюсь;По личной симпатии
Услуги семейной паре;Ваша девушка будет в восторге, а вы тем более)
Игрушки;В вашу сторону, разные размеры
Боди массаж;Могу спортивный, на все тело
Профессиональный;Разминаю все мышцы, выполняю на все тело
Расслабляющий массаж;Вы будете парить над облаками
Урологический массаж;Ласково и аккуратно, ОБЯЗАТЕЛЬНО быть подготовленным
Эротический;Доведу до божественного оргазма
Лесби-шоу;С вашей девушкой
Страпон;В вашу сторону, 3 разных размера, ОБЯЗАТЕЛЬНА подготовка заранее
Фистинг анальный;2000, ОБЯЗАТЕЛЬНО быть подготовленным заранее и предупреждать записываясь
Госпожа;Есть отдельная анкета на профиле БДСМ, обширный опыт в тематике
Легкая доминация;Сайт версии для новичков, от часу
Фетиш;ИНДИВИДУАЛЬНАЯ ПРОГРАММА в описании!
Трамплинг;В кабулках или голыми ножками
Игры;Яркое и откровенное пип шоу
Секс групповой;5000
Минет без резинки;2000
Минет глубокий;1500
Минет в машине;3000
Целуюсь;500
Окончание на грудь;1000
Эскорт;5000
Госпожа;3000
Окончание в рот;500
Секс групповой;X2
Анальный секс;+500.ОБЯЗАТЕЛЬНО ПРЕДУПРЕЖДАТЬ ЗАРАНЕЕ
Игрушки;Если есть свои, то без проблем
Минет без резинки;1500(при взаимной симпатии)
Секс классический;Очень люблю, особенно секс на шпагате
Минет глубокий;При позволяющих размерах
Куннилингус;При умелом язычке возможны непроизвольные оргазмы
Игрушки;Большой выбор, для меня и для тебя.
Окончание на грудь;Да!Это очень красиво
Боди массаж;Разомну твою спину и не только.
Расслабляющий массаж;Полный релакс от шеи до пяточек
Урологический массаж;Очень нежный, пальчиком или игрушкой
Эротический;Массаж твоего тела моей упругой попкой или грудью
Ролевые игры;Давай поиграем...Ты строгий начальник-я секретарша,Ты пассажир  VIP класса, я твоя личная стюардесса.Я строгая учительница-ты  ученик,не сделавший домашнее задание.Я медсестра,соблазняющая пациентов на приеме. Я-леди полицейский(возможны варианты)
Эскорт;1000-час-достойный отдых с неглупой куртизанкой,могу составить Вам компанию в театр,ресторан или кино.
Страпон;Большой выбор девайсов
Анилингус;Почувствуй в своей попке мой шаловливый язычок
Анилингус;Поласкай мою попку, ей понравится
Фингеринг;(Максимум 2-3 пальчика)
Легкая доминация;Возможно в виде ролевой игры.
Фетиш;Всегда ухоженные ножки
Секс групповой;Умножаем на количество участников
Куннилингус;При взаимной симпатии
Минет без резинки;Доп
Куннилингус;ЛЮБЛЮ И ЗАВОЖУСЬ...
Боди массаж;ПРОФЕССИОНАЛЬНО
Профессиональный;Есть массажный стол
Расслабляющий массаж;Лёгкими, плавными движениями...
Эротический;Это волшебная сказка для нас двоих...
Ролевые игры;Ваш сценарий воплатим
Легкая доминация;ПРИНУДИТЕЛЬНЫЙ КУНИ
Порка;Доп Вас
Фетиш;На выбор чулочки,туфельки,бельё...
Игры;Предлагаем-играем
Легкое подчинение;3000
Эскорт;6000
Анилингус;Даме
Cекс по телефону;20 минут 500 р.
Анилингус;Шикарнейше
Минет глубокий;На мое усмотрение
Ролевые игры;Ваш сценарий
Cекс по телефону;300 рублей
Фингеринг;1-2 пальца
